,Sentence,Emotion
73,Railway station good-bye.,sadness
74,I saw a cripple in rags with small children in Italy.  He was á probably an imposter.,digust
75,I told a friend that I was going to a party and he would not á enjoy himself if he came along.  He understood  that he would not á have fitted in and there was something in that.,shame
76,I was the reason behind the break-up of my friend's relationship á with his girlfriend.  She finished with him.,guilty
77,I passed an exam that I was absolutely certain that I had failed.,joy
78,"On the way back from Denmark with a friend on a small yatch, á there was a storm and my friend was blown overboard;  I was very á scared till I managed to get him back onboard.",fear
79,I locked myself out.,anger
80,I missed the last tram home and had to walk in the pouring rain.,sadness
81,I found some worms in the food and I had obviously eaten some.,digust
82,"My friend was so intoxicated that the police came and took him á away, and they later contacted his parents.",shame
83,I hapened to overhear something which I was not meant to hear.,guilty
84,When I won a trip to Greece in a competition.,joy
85,When I am out in the dark and a suspicious looking character á comes towards me.,fear
86,"At work, when an elderly man complained unjustifiably about me and á distrusted me.",anger
87,When I had not understood anything after a lecture.,sadness
88,When an alcoholic stood dribbling over a food counter.,digust
89,When my friend and I were discussing the good looks of a guy we á realized that he had been listening.,shame
90,When I complained about a colleague to the manager and he told á her that someone had complained; this colleague came to me á believing that I liked her.,guilty
91,At a friend's birthday party with some of my closest friends.  It á was all very pleasant and one could say that I was happy to have á such good friends.,joy
92,On the way home one Friday night in the heavy rain the car á acquaplanned.  I lost contact with the road surface for a few á seconds.,fear
93,Mad at my dad.,anger
94,A case of unrequited love.,sadness
95,A bad smelling cucumber.,digust
96,Nearly caught masturbating.,shame
97,I do not help out enough at home.,guilty
98,I felt very happy when I won the football pools.,joy
99,When I flew from Athens to Copenhagen after a holiday.  The plane á was caught in a storm and it began to shake and I thouhght that á we were going to crash.,fear
100,When someone stole my bike.,anger
101,"When I saw the list of books to read for an acccouting course, I á thought \ Oh God how will I ever manaage it!\""""",sadness
102,It was when I read a newspaper article on the future and they á foresaw that we would be eating frog-burgers by the year 2000.  á An illustration showed a frog between two pieces of bread.,digust
103,When I dropped a bottle in the state liquor store and everyboby á started laughing.,shame
104,"When I was young - 14, I pinched from a store and was caught.  á The store then contacted my parents.",guilty
105,When the whole family gets together for a one week holiday.  á Everybody feels free and the trip is well planned.  It works out á well and we enjoy ourselves.,joy
106,"When I could not find my 2 year old daughter.  I ran and looked á for her everywhere and could not find her.  (I finally found her, á she had gone to bed to sleep)",fear
107,When friends try to put me down or hurt me.  ,anger
108,Marriage crises.  Boredom.,sadness
109,When someone makes advances that one does not want.,digust
110,The discovery that one has only thought of oneself.,shame
111,When I spanked a child in anger and later regretted it terribly.,guilty
112,When I passed the first examination that I had to repeat.,joy
113,When I drove to Stockholm for the first time and drove off the á Stora Hissingen road at the wrong exit.,fear
114,When my boyfriend went away for a month long holiday without me.,anger
115,Last year when I worked during the Summer holidays and studied á at the same time for an examination I had to repeat; my boyfriend á went to Greece for a holiday for a month.,sadness
116,When a dog is left whining outside a shop.,digust
117,When I promised to help a friend over a weekend and did not keep á the promise.,shame
118,When I realized that I had three more examinations to take.,guilty
119,The day I was told that I had been accepted as a student of á economics.,joy
120,"While taking a short cut through the Vasa park, I was surrounded á by three people who tried to steal my money.  I was scared and á was saved only by the appearance of other people.",fear
121,"At a restaurant I observed how the gypsies tried to get money by á cheating the foreigners i.e non Swedish speaking.  My anger had á nothing to do with hatred against foreigners, but it was an á expression of the anger I feel when I see people being used .",anger
122,At the begining of a new course one is afraid of encountering á problems one can not manage.  Thoughts revolve around failing á the subject and the consequences it would have for the future.,sadness
123,While walking in town I noticed how the police harrassed a man á who was under the influence of alcohol.  They terrified him with á the thought of arrest by driving close behind him on a pedestrian á street.  My disgust was directed at the gestures and the facial á expressions of the policemen; they seemed to be enjoying á themselves.,digust
124,"When my boyfriend revealed that he knew that I had discovered á things of an important nature about him, I felt ashamed as I had á not mentioned it earlier.",shame
125,"When I am dishonest to a friend to whom I am very close.  I á feel guilty because I know that he gives a different version of á the truth and I have not corrected these mistakes, and he is á aware that I know that they are wrong.",guilty
126,When I found out that I had passed the last two exams by a á margin of three marks.,joy
127,When my father was ill and was waiting for the results of his tests.,fear
128,When I got caught in the pouring rain last Thursday and did not á have a raincoat on me.,anger
129,When I failed an exam.,sadness
130,"At a Sm÷rgasbord table, a man mixed differnet kinds of picked á herrings with fruit salad.",digust
131,"When I had not prepared my contribution to the group as á thoroughly as the other members, with the result that the á overall result was poor.",shame
132,"When my father and I worked on the house just after he had á recovered from illness, I was rather lazy.  This meant that he á had to work hard and was not very well later.",guilty
133,When I gave birth to my son and saw that he was alive and that I á had managed it well.  He was born a month too early with a á malfunctioning lung.  This happened a year ago.,joy
134,When I found out that my father had lung cancer and they did not á know how long he would live.,fear
135,"When a colleague asked me for help at work, despite the fact á that he had more time to do it than I had.",anger
136,When I did not get the salary increase that I had been expecting á and understood how little one's work was appreciated.,sadness
137,When I was weeding the garden I found a lizard in my hand.,digust
138,"When I met a friend whom I had not seen for a long time and á heard all about her troubles, I thought that I should have got á in touch with her earlier.",shame
139,I got angry at my mother for something trivial.  We were in a á bad mood because my father was very ill and I knew that my mother á really needed support.  I had reacted wrongly.,guilty
140,"New year's eve 1983/1984, I met my girlfriend.  We stood on the á steps outside her parents home and I kissed her for the á first time.",joy
141,"When I was stopped by plain clothes policemen because the car I á was driving had overturned on the Avenue.  I had been driving too á fast, and I was afraid when I was stopped, questionned and then á toild to go.  The situation ended happily since there were no á consequences.",fear
142,The editor changed the heading of an article that I had written.  á He considered the heading to be derogatory towards the person I had written á about.,anger
143,"A close acquaintance of the family died of lung cancer.  á Although it was expected, I still felt depressed.",sadness
144,"When I saw a picture, in the Gothenburg Post, of a totally á demolished car with two fatally injured passengers.  The car was á so badly damaged that they couldn't get the bodies out at the á scene of the accident.",digust
145,One night I had a sexual intercourse with another man.  My sexual á desire and my curiosity had made me jump into bed with him.  I am á ashamed of myself now.,shame
146,"Due to laziness, I failed the term studies completely at á University.  I also wanted, to some extent, to protest against my á parents' expectations.",guilty
147,When I got the loan for my studies.,joy
148,I met intoxicated people with dubious intentions in a back alley á one Wednesday night.,fear
149,On the T.V I saw a news feature on South Africa.  A policeman      á attacked a group of black people with a whip.,anger
150,The thought of having to read a boring book of 400 pages in á English.,sadness
151,Grovelling people.,digust
152,My inability to assert myself positively in a group.,shame
153,I experience feelings of guilt because I do not study enough.,guilty
154,"Observing someone in the cafeteria noisily gulping in his food, á having extremely bad manners.",digust
155,I guess I have often been ashamed after having talked badly of á other people.,shame
156,Having been angry and unpleasant towards my parents.,guilty
157,When my sister - after a history of one abortion and one á stillbirth - gave birth to a perfectly healty boy.,joy
158,"When my sister had the still born child, she was emotionally very á deep down, and it took her a long time to recover.",fear
159,"We were starting a student project, and the teacher we talked to á was very negative and not very helpful.",anger
160,"When my boyfriend openly let me down, preferring another girl.",sadness
161,"I felt some disgust for my boyfriend for a time, after he had á left me.",digust
162,Can't think of any.,shame
163,"Before an accident, my aunt offered me the front seat of the car, á next to the driver. I declined, she took that seat and was killed á there when the car crashed.",guilty
164,"Unexpected visit by a close friend, whom I hadn't seen for half a á year.",joy
165,"I wandered by mistake into the safety zone of a shooting range, á and was shot at.",fear
166,Being treated unfairly.,anger
167,Breaking up with a girl.,sadness
168,Nothing.,digust
169,None.,shame
170,Little contact with my father before he died.,guilty
171,"When I was accepted as a student at the college, not having á thought it possible.",joy
172,"When I was the first to arrive at the scene after an accident, á and found that a close school friend had been killed.",fear
173,"I was accused of having done something, which I hadn't and got á very angry.",anger
174,When my grandmother died.,sadness
175,Not applicable.,digust
176,"A couple of years ago during the summer holiday, I was fishing at á a lake with my husband.  Suddenly it started raining while the á sun was still shining. I experienced a feeling of joy, happiness á and fulfillment.  the whole nature was full of music.",joy
177,"I was alone at home, in bed reading a womens' magazine in which á there were storiees of paranormal experiences.  My leg was á itching and I stretched my hand to scratch and I felt another á strange hand. (later I realized that it was the corner of the á blanket)",fear
178,"I went to a lecture and once again it had been cancelled, this á was the second time.  One had a negative attitude towards the á lecturer.á ",anger
179,"I heard that a former superior of mine had died, I was later at á home home reading about it in the newspaper and I thought of our á interaction and how it was no longer possible.  The limited scope á of human life is sad.",sadness
180,"In the tram there was a fat, sickly looking woman in front of me á who was asking for directions in a thick voice.  When she got up to á go a disgusting smell of urine came from her.  I felt that I á would choke.",digust
181,"When we were at home, my husband and I, he made a remark about á something I had done, in a perfectly friendly manner.  My deed á had been unjust and I knew that my husband was right, therefore my á sense of shame.",shame
182,"I made a remark to my sister concerning her attitude to men, the á way she talked and I compared her to an acquaintance of mine.  á Later, the same evening, my sister looked sad.  I felt guilty á about her sadness.",guilty
183,"I had a summer job in Sweden, and my boyfriend came to meet me on á my birthday.",joy
184,"I went to practice in Sweden during summer, and I was afraid that á I would not do well.",fear
185,"In the holiday cottage of our association, two of my pals came to á wake me up early one morning by bringing a radio played at the á highest volume into my room - it was the morning service at its á loudest.",anger
186,My grandmother died suddenly last summer.,sadness
187,"My superior at the summer job swindled customers as much as he á could, and once put me in a difficult situation after which I á could not but detest him.",digust
188,Once I arrived two hours late to my work place (a bank) and I was á still feeling feeble and tired.,shame
189,Our association had Polish visitors and when they were going back á by boat I did not go to see them off (I am the chairman of the á association).,guilty
190,"I was told quite unexpectedly that one wanted me to become the á vice-chairman of our student organisation.  I was really á surprised and joy was the first emotion I felt, though behind it á there was worry - how shall I succeed ?",joy
191,"Our tutorial group was soon to be divided, and we got a list of á names of freshmen, out of which five were to be in my group.  We á read the names and then each group went its own way to a seminar á room.  I wondered how I would cope with the new situation and if á I would succeed as a group leader.",fear
192,"We were in a disco and the evening was not at all pleasant.  á Despite my not knowing why, I was angry with my companion.  I let á him feel my bad humour as I cannot hide my feelings.",anger
193,"My grandmother died, and my mother called me one sunday morning á in the Autumn.  The way my mother told me about it, I hated her á at that moment.  She sounded as if she had been waiting for the á death of my grandmother.  I had lost a person close to me.  I á felt guilty too as I had been bad to my grandmother of late.  I had not á remained calm when she no longer understood everything so well.",sadness
194,"At the underground station, a drunkard came to speak to me.  He á tried to ask me something but I did not answer so he began to á speak about me with his companion.  I detested this dirty á growling man.",digust
195,"I was worried by a task related to my studies which had to be á done in groups of two.  I was talking about it to my friends when á I said something negative, in too abrupt a manner, concerning my á work partner.  I did not quite mean what I said and I felt á ashamed at having been mean enough to criticize him as he is also á a friend of mine.",shame
196,I had told my boyfriend that I did not want to go on with our á relationship.  I knew that I was important to him but I wanted to á be free.  I saw that this was difficult for him but I remained á firm and did not change my mind.,guilty
197,"Last night I had a chat with a fellow student.  I had known her á for about half a year, and for the first time we were speaking á \the same language\""- meaning an inspiring discussion and á",joy
198,"[ I sometimes quarrel with my mother because she blames me, á though I have not in any way been connected to some events.]",anger
199,"After hearing about the death of my grandfather.  First I could á not believe it, but later I wept and felt the situation was á hopeless.  I felt lonely and wanted to be consolated.",sadness
200,"In the evening, while I was watching TV, my little brother came á in and started eating food he had brought from the kitchen while á I was trying to concentrate on the program.",digust
201,My little brother was arrested by the police at the railway station after á he had drunk some beer.,shame
202,"At my temporary job, I have to restrict  others' actions and make á them obey me, and this very often gives me  a feeling of guilt.  I á wish there could be some other way of acting.",guilty
203,"I met a dear friend of mine after a long time.  I expressed my feelings á in our own usual way, by mutual scolding and abusing (with á complete understanding) and by touching, patting and taking the á hand of the other person, etc...",joy
204,"I felt fear of the purest kind after a car accident.  The á incident and images of horror kept coming back to my mind.  I á wondered what could have happened to my sister, my friend and me, á though nothing very serious actually happened.",fear
205,"Two boys whom I know were telling me, in an indecent manner, how á they had teased a young and shy girl I know.  They had despised á her conviction, scorned and touched her.  I got very angry and á did not try to conceal it and gave it back to them.",anger
206,"My sweetheart left me, or rather we decided to break it off by á mutual consent.  The consequences were - unrestrained weeping, á feelings of loneliness, hopelessness and disconsolation.  I felt á that I should find a friend, to talk to joyfully and to forget.",sadness
207,"Out of sheer curiosity, I went to see a pornographic movie in á Copenhagen.  The room was full of men, who panted and á masturbated.  Very disgusting.",digust
208,"After having quarelled unnecessarily and without any reason, and á having been stupidly cross in every way.",shame
209,[ Do not know.],shame
210,Forced to fill in a questionnaire.,guilty
211,When I won a tennis match.,joy
212,When my dog ran out on thin ice last spring.,fear
213,When my tennis match was interrupted because a kid cycled right á into the court.,anger
214,[ No response.],sadness
215,[ No response.],digust
216,[ No response.],shame
217,[ No response.],guilty
218,Celebrations on the graduation day with the orchestra playing in á the garden ( I am a part of this orchestra).,joy
219,Risk of being involved in a fight after a party.,fear
220,"I had a very heavy work load and two colleagues, whom I have á nothing against, disturbed me by \terror ringing\"", i.e á",anger
221,After an exam which I failed.,sadness
222,[ Normally I do not feel disgusted.],digust
223,"When I overtook a car on the mainroad, misjudging the distance of á an oncoming car and this resulted in tooting and flashing from á the other driver (we could have collided), and I had an á acquaintance in the car with me.",shame
224,"I saw a neighbour, from the same appartment block as me, lying    á on the road.  He could have been injured or ill.  I kept 20 á metres away and did not go to help him.",guilty
225,When I met an old schhol friend (school love) who works in á Sk+vde.,joy
226,"When I was cycling to school, I nearly got knocked down by a car á which (overtook me too closely) did not give me any swerving space.",fear
227,"When I was deputy manager during the Summer, certain deputies á took liberties, more than what was normal.",anger
228,"When I realized that my girlfriend, whom I like, and I were going á to separate.",sadness
229,Dog dirt which thaws in the spring.,digust
230,When I forgot my mother's birthday.,shame
231,[ Can not think of anything just now.],guilty
232,Passed the last exam.,joy
233,Was nearly knocked down by a car.,fear
234,I reached the bus stop and realized that I had forgotten my bus á pass.,anger
235,My current work load is too much.  The feeling comes back from á time to time.,sadness
236,[ Can not think of any situation.],digust
237,[ No response.],shame
238,[ No response.],guilty
239,When my one year old son gives me a spontaneous kiss.,joy
240,When someone close to me is travelling by car and is delayed.,fear
241,When someone does something wrong which affects me negatively.,anger
242,When I think about my parents getting old.,sadness
243,[ Can not remember.],digust
244,[ No response.],shame
245,"I do not have the time for other people's problems.  My á mother-in-law is sometimes depressed and I do not have the time, á the desire or the strength to help.",guilty
246,"An ex-colleague asked me if I was interested in working in their á accounts bureau.  They needed \clever people\"" and he had á",joy
247,I was driving and a deer suddenly appeared in front of the á car when there was a lot of traffic behind me.,fear
248,I saw a report on T.V news on apartheid in South Africa. ,anger
249,[ No response.],sadness
250,[ No response.],digust
251,[ No response.],shame
252,[ No response.],guilty
253,When my girlfriend became pregnant.,joy
254,When I nearly collided with another car.,fear
255,The time when someone let the air out of the tyres of my cycle.,anger
256,When I read a lot and did not remember anything.,sadness
257,[ No response.],digust
258,[ No response.],shame
259,The time that I had to put my dog to sleep.,guilty
260,[ No response.],joy
261,[ No response.],fear
262,[ No response.],anger
263,Long illness.,sadness
264,When I passed an exam.,joy
265,"When I was travelling by tram, I tripped and fell against the á door.  I thought that I was going to fall out.",fear
266,When I missed the tram after having run for it.,anger
267,The inability to read a book at college.,sadness
268,If a guy one is not interested in makes advances.,digust
269,I drink wine too often.,shame
270,I do not study enough as I do not understand it properly.,guilty
271,I worked at a lawyer's office during Summer and I got a very á good reference from him.,joy
272,I had been watching a triller a dark night in the country and I á had to go the outside toilet on my own. ,fear
273,"When I am accused of something I have not done, I get unbelievably á angry.",anger
274,"When I began to read a thick book, which I had a limited time to á read.  Also when I have a lot of work to do and I cannot keep up.",sadness
275,Someone vomited on the street.,digust
276,"I can not think of any incident when I have felt very ashamed.  á There are small incidents that I am ashamed of, for instance, á not sending money to the children in Ethiopia.",shame
277,I had lunch with my ex-boyfriend and did not mention it to my á fiancee.  I felt guilty despite the fact that I felt nothing for á my ex-boyfriend.,guilty
278,When I was finally qualified for my profession.,joy
279,Someone attacked me with a knife.,fear
280,Someone drove into my car and then denied that it had happened.,anger
281,When I was told that my friend's wife had cancer.,sadness
282,When I saw a dog which had been knocked down by a car.,digust
283,When I boxed my child's ears.,shame
284,When I was fined for speeding.,guilty
285,I stopped working (had a boring job).,joy
286,"I was going home by car late one night when it was cold, dark and á windy.  I became rather panicky on the way to my house.",fear
287,Quarrel in the family.,anger
288,When I am alone in a room with no contact with anyone - á loneliness drains me.,sadness
289,When I was on holiday someone vomited in front of me.,digust
290,Emptied a bucket of water in a hospital.,shame
291,When I feigned sick leave from work.,guilty
292,When I get a hug from someone I love.,joy
293,I was driving very fast on a small road and I met an oncoming car á in a right handed bend.  The other driver was on his own side of á the road and I had to skid out of it to avoid a collision.  It á was dark.,fear
294,My car had been towed away by the traffic police because it had á been wrongly parked.  However the sign had been put up only after á I had already parked.,anger
295,After an operation I had to stay in bed for a long time.,sadness
296,I was forced to stay in the canteen and eat the food that I had á not asked for but got it anyway.,digust
297,When I did not buy what I had promised to.,shame
298,By mistake I took a book from the library which was not supposed á to be loaned out.,guilty
299,When I won an unexpected sum of money.,joy
300,My 2 year old daughter disappeared in a moment of inattention; I á was responsible for her.,fear
301,A colleague asked me for some advice and as he did not have á enough confidence in me he asked a third person.,anger
302,"I wanted to be pregnant and did not succeed, so I was depressed    á at every menstruation.",sadness
303,"In a warm bus full of people, someone vomited and the whole bus á stank.",digust
304,"I complained about a colleague's behaviour as she goes back on á her word, is often absent and is irresponsible.  I found out that á she was an alcoholic and was trying to fight againt her á addiction.",shame
305,I spoke to my mother on the phone.  She had skin cancer and was á waiting to be operated.  I forgot to ask her the date of the á operation and just before finishing our conversation she gave me á the date in passing. ,guilty
306,When I was at a party I met an old friend from an adult á education course.  We had not met for 2 years but had both thought á a lot about each other.  A wonderful experience.á ,joy
307,"When I was cycling through the park late one night, two people á jumped out of the woods and tried to stop me.  There were á shouting something at the same time.",fear
308,When close relatives tried to dissuade me from studying á Psychology because of its low status.,anger
309,I had a long discussion on politics with an acquaintance.  He á was more knowledgeable than me and I failed to explain my point á of view and was misunderstood so I felt depressed and left.,sadness
310,When I read a newspaper article on a young girl who had been á raped and assaulted one night by several men when she was unconscious.,digust
311,My mother revealed personal details about me and the á negative aspects of my character to other people when I was á present but unable to defend myself.,shame
312,I was unfaithful to my partner once when he was working abroad á for a long period.,guilty
313,When I recently got an appartment in central Gottenburg.,joy
314,When I saw a large spider crawling up the wall.,fear
315,My employer took too many aspirins for a bad back and also drank á an enormous amount of spirit.  This was dangerous  and he did á not understand that he had done anything wrong.,anger
316,"When I left New York, and all my family and my friends behind me.",sadness
317,When I slept with a guy because my best friend wanted me to.  á He had never had intercourse with anyone and had a terrible á complex about it.,digust
318,When I dated a close girlfriend's boyfriend a few times. He told á me that it was over between them and I accepted it.  When she á found out she finished our friendship.,shame
319,"When I broke off with my boyfriend after three years.  It was á quite unexpected for him and there was no particular reason for á the break up, such as someone else.",guilty
320,When my son returned from mountaineering - healthy in body and á soul.,joy
321,When one meets new people with whom one is forced to collaborate á with.,fear
322,The sports fishermen who catch gulls instead of fish with their hooks. á   It is often a mistake but it makes me angry.,anger
323,I feel sad about an event I can not influence.,sadness
324,"When a member of the family complains about the food that is á served, it disgusts me.",digust
325,[ Cannot recall any incident when I felt shame.],shame
326,I have chosen to put my son in a private school were the á examination marks are low.  Every time that he gives me his term á results I am left with a sense of guilt.,guilty
327,When I was informed that I had been accepted as a student of á Psychology.,joy
328,When I was in a little fishing boat and we ran into hard weather á in the open sea.,fear
329,When I found out that the guy I was dating at a particular time á had a steady relationship going on with someone else for a long á time.,anger
330,I felt sad and depressed when I heard that our cat had died.,sadness
331,"When I was working as a nurse in a mental hospital, a patient ate á up the contents of another patient's spitoon.",digust
332,"At primary school, when I vomited in front of others in the middle  á of a lesson.",shame
333,I arrived an hour late for an important meeting ( I had á misunderstood the time).,guilty
334,When I was acceptted as a student of psychology.,joy
335,When my son has a pain in his leg (for no apparent reason).  ,fear
336,"When, after a week at school, a teacher sent a note home saying á that my son was inattentive and unable to do his lessons.",anger
337,When I thought that it was going to be impossible for me to start á studying (due to wrong information from the student advisor).,sadness
338,"At a certain person's lack of cleanliness, at home and á personally.",digust
339,"When I made the same mistake that I had accused someone else of, and á this was obvious to a third pereson.",shame
340,When I lost something that was valuable to my sister.,guilty
341,When my son was born.,joy
342,When I nearly drowned in icy water wearing ice skates.  It was á difficult to get out.,fear
343,When I was pointed out as a problem child in primary school and á my mother took the teacher's point of view.,anger
344,When I was accused of neglecting work for the wrong reasons.,sadness
345,"My parents attitude towards each other when they should become á reconciled, despite my father's long-time addiction.",digust
346,When I was caught stealing money from my father.,shame
347,I stole a coconut cake from a reception table and when I put á in my mouth I realized that the host was watching me.,guilty
348,"When after 10 months of national service I was \downgraded\"" and á",joy
349,When I was reprimanded by the manager of the hotel where I á worked during Autumn 1984.,fear
350,When my parents drove me to a nearby place and went home á immediately instead of waiting a few hours.  They could have á easily waited.,anger
351,When my ex-girlfriend and I discovered that there was a certain risk á of her being pregnant.,sadness
352,When I was about to clean the draining board and saw it looked á underneath the sink (I live in a students hostel).,digust
353,When my mother caught me masturbating.,shame
354,"As the only person in my family into academics, I ought to have á looked after my younger (and only) sister better, with respect to á her education and life experiences.",guilty
355,When my older sister told us that she was thinking of joining the á rest of the family for the winter sports holiday.,joy
356,Slept in a chapel and in the middle of the night I realized that á there was someeone else in the chapel.  I never discovered who á it was and why he was there.,fear
357,"When we were in high school a few guys sometimes provoked a á friend of mine.  They called her a pig and then grunted.  This á irritated most of the girls.  Once, one of the girls got angry at á my friend and said something nasty and this made me terribly á angry.",anger
358,I talked to my boyfriend on the phone when I was in high spirits á and had a lot to tell him.  I had been looking forward to this á conversation and he did not listen to me to the extent that I á had anticipated.,sadness
359,A mother who shouts at her child for nothing.,digust
360,"When I complained to my mother about how untidy the kitchen á loooked, she boxed my ears ( this had never happened before).",shame
361,"As I could not be home before midnight I called home at 11.30 and á asked them to leave the door open so that I could get in.  I á actually woke up the whole family by calling them so late.  My á mother could not go back to sleep, besides she had a conference   á the next day and really needed to sleep.",guilty
362,When I got through the first day here at the department.,joy
363,When I was cycling past a parked car someone opened the door and á nearly pushed me off my bike and into the traffic.,fear
364,When my boyfriend sat up half the night playing computer games á with a friend.,anger
365,When I had to leave my mother and my sister after a week's visit.,sadness
366,When I saw a big spider from very close.,digust
367,When I asked a friend to return the money that I had loaned her á and then remembered that she had repayed me in several ways.,shame
368,When one of my parents insinuates something about the other á (they are divorced).,guilty
369,When i was asked to be a child's godmother.,joy
370,On the way down a ski slope which was difficult and steep.,fear
371,When my mother interfered in my life.,anger
372,When I was left alone one week-end without being prepared for á it.,sadness
373,The first time that I saw a surgeon cut off a leg and put it in a á black rubbish bag.,digust
374,When I forgot about a meeting at work.,shame
375,When I demand too much from my friends.,guilty
